geo,name,indicator,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
dom,Dominican Republic,pop,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89071,89213,89428,89717,90081,90522,91041,91639,92318,93078,93921,94849,95863,96964,98154,99435,100807,102272,103833,105490,107244,109029,110842,112686,114561,116467,118404,120374,122377,124412,126544,128776,131109,133549,136099,138761,141540,144439,147463,150616,153961,157446,161075,164852,168784,172873,177127,181549,186146,190922,195883,200971,206191,211545,217037,222670,228449,234376,240456,246693,253090,259652,265828,272717,279784,287033,293913,301524,309331,317340,325009,333424,342056,350395,359467,368774,377843,387626,397661,407957,418519,429354,440470,451874,463572,475747,488467,501710,515450,529756,544695,559056,575296,592174,609769,627944,645315,664586,684281,704605,725285,746732,767171,786600,805018,823793,842923,861970,881809,906437,936195,971085,1007000,1043942,1081910,1120903,1161266,1202654,1245410,1289193,1334344,1380521,1427724,1475269,1519394,1560440,1598750,1637744,1677422,1718126,1760198,1803297,1847421,1892572,1938749,1985952,2034523,2084121,2220297,2364654,2438405,2517259,2600798,2688698,2780652,2876428,2975807,3078629,3184757,3294042,3406299,3521278,3638628,3757956,3878948,4001375,4125109,4250025,4376054,4503114,4631114,4759934,4889436,5019473,5149935,5280723,5411865,5543517,5675931,5809269,5943591,6078820,6214857,6351572,6488856,6626542,6764624,6903316,7042937,7183647,7325622,7468551,7611465,7753052,7892423,8029113,8163472,8296375,8429112,8562622,8697126,8832285,8967760,9102998,9237566,9371338,9504353,9636520,9767758,9897985,10027095,10154950,10281296,10405844,10528394,10648791,10766998,10882996,10996774,11108358,11217656,11324614,11429275,11531725,11631994,11730102,11825969,11919438,12010267,12098320,12183473,12265750,12345299,12422304,12496897,12569110,12638824,12705838,12769880,12830731,12888356,12942757,12993954,13041949,13086762,13128379,13166855,13202295,13234877,13264741,13291955,13316538,13338523,13357936,13374780,13389108,13400976,13410451,13417615,13422524,13425223,13425757,13424122,13420352,13414455,13406462,13396406,13384305,13370168,13354004,13335854,13315728,13293677,13269727,13243914,13216281,13186865,13155673,13122719,13088049,13051671,13013650,12974047,12932908,12890307,12846298,12800922,12754241,12706322,12657220,12606990,12555692,12503383,12450118,12395962,12340967,12285199,12228711,12171577,12113860
ecu,Ecuador,pop,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500392,501182,502377,503984,506010,508460,511343,514665,518434,522656,527340,532494,538123,544238,550845,557953,565570,573704,582363,591558,601295,611193,621254,631480,641875,652441,663181,674097,685193,696472,707720,718933,730108,741243,752335,763380,774375,785317,796202,807027,818334,829588,840785,851921,862991,873992,884920,895768,906535,917213,927798,938504,949331,960282,971357,982557,993886,1005343,1016930,1028649,1040501,1052488,1064205,1076461,1088856,1101392,1113684,1126500,1139462,1152572,1165471,1178880,1192442,1205833,1219704,1233735,1247636,1261986,1276501,1291183,1306033,1321053,1336245,1351611,1367154,1383326,1400209,1417790,1436058,1455092,1474879,1493802,1515345,1537736,1561074,1584786,1608159,1632461,1657209,1682403,1707836,1733925,1756572,1775772,1791517,1807628,1823759,1838341,1853661,1869329,1885344,1901012,1916680,1932347,1948363,1964379,1980743,1997107,2013819,2042718,2085194,2137768,2188253,2239086,2292704,2347715,2403074,2459826,2518319,2583079,2639830,2700760,2760297,2832021,2905833,2983823,3065991,3153382,3310531,3470159,3561154,3655014,3752135,3852859,3957485,4066239,4179319,4296833,4418892,4545550,4676859,4812890,4953733,5099468,5250119,5405685,5566057,5730906,5899845,6072527,6248835,6428711,6611916,6798206,6987391,7179399,7374234,7571959,7772653,7976445,8183194,8392940,8606213,8823751,9045979,9272906,9504129,9739176,9977377,10218091,10460990,10705667,10951202,11196479,11440583,11683479,11924993,12163885,12398691,12628596,12852755,13072060,13289601,13509647,13735233,13967480,14205453,14447562,14691275,14934690,15177355,15419666,15661547,15903112,16144368,16385068,16624858,16863425,17100444,17335642,17568798,17799780,18028434,18254667,18478364,18699380,18917584,19132925,19345363,19554856,19761328,19964652,20164669,20361220,20554156,20743359,20928791,21110367,21288034,21461740,21631425,21797038,21958497,22115727,22268680,22417298,22561555,22701478,22837111,22968451,23095520,23218266,23336670,23450699,23560315,23665540,23766347,23862704,23954542,24041840,24124590,24202801,24276521,24345816,24410731,24471308,24527551,24579457,24627010,24670209,24709076,24743677,24774100,24800448,24822803,24841272,24855893,24866678,24873639,24876794,24876218,24872012,24864346,24853391,24839312,24822211,24802174,24779340,24753852,24725840,24695405,24662611,24627514,24590146,24550543,24508756,24464814,24418769,24370671,24320580
egy,Egypt,pop,4243515,4241025,4238537,4236051,4233565,4231082,4228599,4226119,4223639,4221161,4218711,4218438,4220390,4224589,4231057,4239817,4250891,4264302,4280073,4298227,4318788,4341780,4367227,4395154,4425584,4458542,4494055,4532146,4572843,4616169,4662153,4710820,4759995,4809683,4859890,4910621,4961882,5013678,5066014,5118897,5172331,5226324,5280880,5336006,5391707,5447989,5504860,5562323,5620387,5679056,5738339,5794738,5851690,5909199,5967271,6025912,6085126,6144921,6205300,6266271,6327838,6390772,6455095,6520829,6587997,6656623,6726729,6798340,6871480,6946173,7022444,7100318,7179822,7253858,7336855,7421643,7508253,7591552,7682550,7775572,7869718,7961604,8057996,8155552,8251206,8351094,8452189,8551768,8655285,8760052,8866084,8973395,9082002,9191920,9303165,9415753,9529699,9645021,9761734,9879856,9999403,10120393,10240112,10364006,10489396,10616298,10744731,10870655,11002157,11135245,11269938,11405040,11542988,11693681,11857432,12034559,12214327,12396775,12592508,12788649,12987845,13190144,13395594,13604243,13816143,14031343,14249895,14471852,14697265,14926190,15158680,15394792,15634581,15878105,16125423,16376592,16631674,16890729,17153819,17421007,17692357,17967933,18247801,18532029,18820684,19113835,19411552,19713906,20020970,20332817,20713331,21215014,21746808,22309098,22901598,23523384,24172872,24847822,25545476,26262697,26996533,27744712,28506176,29281250,30071102,30875964,31697616,32534021,33377259,34216826,35046273,35863382,36673642,37488067,38322022,39187702,40089032,41026477,42004655,43027816,44099142,45216506,46379620,47594556,48868951,50204985,51607703,53066229,54547296,56006573,57412215,58752390,60035536,61275601,62495745,63714386,64933456,66151117,67378056,68626664,69905988,71226940,72590118,73981942,75381899,76778149,78159048,79537253,80953881,82465022,84107606,85897561,87813257,89807433,91812566,93778172,95688681,97553151,99375741,101168745,102941484,104692187,106416061,108116982,109800309,111470930,113130458,114781107,116429178,118082119,119745677,121421618,123110062,124812705,126530788,128264287,130013689,131776462,133545421,135311042,137065513,138805578,140529930,142235097,143917867,145575547,147205904,148807449,150379368,151921405,153433492,154915089,156366037,157787287,159180298,160546412,161885864,163199201,164488575,165756609,167005245,168235450,169447086,170639679,171812229,172963944,174094819,175205055,176294186,177361668,178407025,179430064,180430653,181408605,182363701,183295801,184204709,185090341,185952865,186792549,187609559,188403749,189174888,189922985,190648066,191350010,192028641,192683525,193313969,193919115,194498197,195050638,195576003,196073936,196544082,196985980,197399094,197782729,198136077,198458209,198748056
slv,El Salvador,pop,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248154,248465,248933,249562,250354,251310,252432,253724,255187,256823,258634,260623,262793,265145,267682,270406,273321,276427,279728,283227,286925,290672,294467,298312,302208,306154,310152,314202,318305,322461,326704,331035,335455,339967,344572,349272,354068,358962,363956,369053,374261,379575,384997,390529,396173,401931,407805,413797,419910,426145,432504,438956,445505,452150,458894,465737,472681,479729,486880,494137,501502,508975,516188,523878,531682,539602,547282,555431,563700,572093,580273,588912,597680,606270,615297,624457,633478,642909,652481,662195,672054,682059,692214,702519,712978,724013,735701,748029,761075,774733,789082,802616,818682,835633,853450,871712,889285,908328,927772,947617,967597,988312,1009695,1031413,1053466,1076187,1099243,1122936,1146970,1171634,1196770,1222226,1248222,1274772,1301886,1329577,1357857,1386739,1416235,1446358,1477122,1508540,1540627,1573396,1606862,1641040,1675944,1711592,1747997,1785177,1823147,1861926,1901529,1941974,1983280,2025464,2068546,2112543,2157477,2199898,2236576,2278307,2324559,2374972,2429333,2487586,2549826,2616277,2687233,2762899,2843240,2927857,3015887,3106186,3197863,3290411,3383701,3477742,3572707,3668595,3765166,3861931,3958323,4053713,4147525,4239675,4329964,4417516,4501316,4580704,4655364,4725720,4792903,4858532,4923860,4988943,5053714,5119035,5185943,5254984,5326657,5400331,5474000,5544945,5611115,5671925,5727755,5778706,5825187,5867626,5905962,5940303,5971535,6000775,6028961,6056478,6083475,6110301,6137276,6164626,6192560,6221246,6250777,6281189,6312478,6344722,6377853,6411558,6445405,6479066,6512324,6545173,6577561,6609535,6641077,6672171,6702612,6731997,6759778,6785583,6809174,6830667,6850432,6869026,6886840,6904012,6920362,6935627,6949436,6961520,6971811,6980404,6987377,6992860,6996962,6999686,7001019,7001030,6999809,6997410,6993870,6989179,6983296,6976177,6967763,6958062,6947074,6934767,6921094,6906033,6889562,6871704,6852455,6831846,6809916,6786661,6762082,6736184,6708992,6680505,6650734,6619704,6587412,6553848,6519018,6482966,6445712,6407274,6367667,6326918,6285067,6242195,6198375,6153732,6108370,6062356,6015776,5968743,5921387,5873823,5826148,5778440,5730770,5683188,5635784,5588619,5541760,5495322,5449384,5404065
gnq,Equatorial Guinea,pop,80377,80377,80377,80377,80377,80377,80377,80377,80377,80377,80377,80390,80415,80453,80505,80569,80646,80736,80838,80954,81084,81226,81381,81550,81732,81927,82136,82358,82594,82843,83105,83381,83658,83936,84215,84495,84776,85058,85340,85624,85909,86194,86481,86768,87056,87346,87636,87927,88219,88512,88807,89108,89410,89714,90018,90324,90630,90938,91246,91556,91867,92179,92491,92805,93120,93436,93753,94071,94391,94711,95032,95355,95679,96000,96326,96652,96980,97306,97636,97968,98300,98631,98966,99302,99636,99974,100313,100652,100993,101336,101680,102025,102371,102718,103067,103417,103768,104120,104473,104828,105183,105540,105896,106256,106616,106978,107341,107703,108068,108435,108803,109171,109542,109913,110286,110661,111036,111413,111781,112152,113670,116376,120316,124389,128600,132953,137454,142107,146917,151890,157032,162348,166083,168180,168578,168978,169378,169780,170182,170585,170989,171395,173681,177920,184184,190669,197382,204331,211525,218973,225537,230717,233853,235883,237547,239375,241670,244553,247932,251601,255323,258947,262590,266598,271457,277396,284868,293440,301353,306233,306515,301666,292585,281021,269426,259747,252194,246677,244485,247078,255325,270063,290617,314475,338086,358896,376024,390173,402326,414138,426846,440624,455148,470610,487140,504871,523999,544636,566673,589938,614323,639762,666407,694611,724817,757317,792217,829327,868418,909111,951104,994290,1038593,1083746,1129424,1175389,1221490,1267689,1313894,1360104,1406280,1452350,1498287,1544203,1590279,1636622,1683298,1730260,1777358,1824393,1871220,1917787,1964178,2010610,2057392,2104728,2152689,2201208,2250162,2299375,2348714,2398149,2447695,2497320,2546981,2596652,2646294,2695886,2745462,2795078,2844744,2894470,2944196,2993886,3043453,3092849,3142031,3190988,3239660,3287993,3335951,3383481,3430556,3477168,3523281,3568873,3613926,3658407,3702286,3745520,3788094,3829976,3871160,3911644,3951429,3990517,4028902,4066584,4103552,4139809,4175349,4210173,4244286,4277679,4310397,4342414,4373775,4404439,4434425,4463733,4492376,4520335,4547616,4574218,4600126,4625356,4649879,4673700,4696819,4719218,4740885
eri,Eritrea,pop,205010,205010,205010,205010,205010,205010,205010,205010,205010,205010,205010,205140,205401,205796,206325,206992,207797,208742,209830,211062,212440,213967,215643,217472,219455,221593,223890,226348,228967,231752,234703,237823,240985,244189,247435,250724,254058,257435,260857,264325,267839,271400,275008,278664,282369,286123,289926,293781,297686,301644,305654,309713,313825,317992,322214,326493,330828,335221,339672,344182,348752,353383,358075,362830,367647,372529,377476,382488,387566,392713,397927,403211,408565,413749,419243,424810,430451,435938,441727,447592,453535,459344,465443,471623,477691,484034,490461,496800,503397,510081,516854,523716,530670,537717,544857,552091,559422,566850,574377,582003,589731,597562,605320,613358,621502,629755,638116,646326,654908,663604,672416,681265,690311,699477,708765,718176,727712,737374,747181,757114,767180,777379,787713,798185,808797,819549,830444,841484,852671,864007,875493,887132,898926,910877,922986,935256,947690,960289,973055,985991,999099,1012381,1025840,1039478,1053297,1067300,1081489,1095866,1110435,1125197,1142148,1159798,1179537,1201124,1224384,1249193,1275534,1303420,1332953,1364276,1397491,1432640,1469645,1508273,1548187,1589179,1631147,1674204,1718525,1764343,1811878,1861199,1912302,1965160,2019717,2075965,2133723,2193068,2254450,2318495,2385540,2454766,2525521,2598410,2674289,2753151,2837111,2924349,3006361,3071771,3113311,3127297,3118582,3099047,3085443,3090159,3116379,3161350,3224223,3302263,3392801,3497124,3614639,3738265,3858623,3969007,4066648,4153332,4232636,4310334,4390840,4474690,4560977,4650998,4746045,4846976,4954645,5068831,5187948,5309659,5432216,5555141,5678798,5803376,5929298,6056880,6186016,6316482,6448451,6582129,6717687,6855107,6994250,7135034,7277273,7420805,7565543,7711344,7857969,8005125,8152540,8300073,8447599,8594901,8741756,8887988,9033461,9178086,9321828,9464689,9606664,9747675,9887684,10026695,10164756,10301880,10438046,10573202,10707355,10840490,10972592,11103618,11233513,11362223,11489663,11615750,11740447,11863684,11985320,12105203,12223199,12339236,12453286,12565299,12675271,12783154,12888925,12992537,13094022,13193371,13290621,13385742,13478715,13569555,13658246,13744780,13829153,13911361,13991410,14069275,14144954,14218451,14289753,14358866,14425792,14490515,14553043,14613381,14671525,14727455,14781199
est,Estonia,pop,334136,334136,334136,334136,334136,334136,334136,334136,334136,334136,334136,334283,334577,335021,335616,336362,337263,338318,339529,340899,342427,344116,345968,347983,350163,352510,355025,357710,360566,363596,366799,370179,373590,377033,380507,384013,387552,391123,394727,398365,402035,405740,409479,413252,417060,420903,424782,428696,432646,436633,440656,444711,448803,452933,457100,461306,465551,469835,474158,478521,482924,487368,491852,496378,500945,505555,510207,514901,519639,524421,529246,534116,539031,543838,548842,553892,558989,563990,569180,574417,579702,584905,590287,595719,601082,606613,612195,617724,623408,629145,634934,640776,646672,652622,658627,664688,670804,676976,683206,689492,695836,702239,708601,715122,721702,728343,735044,741662,748487,755374,762324,769296,776374,783518,790728,798004,805347,812757,820250,827808,835436,843134,850904,858744,866658,874643,882703,890837,899046,907330,915691,924129,932644,941238,949911,958665,967498,976414,985411,994491,1003655,1012904,1022237,1031657,1041163,1050757,1060440,1070211,1080073,1090025,1100995,1113247,1125240,1136904,1148213,1159231,1170101,1181019,1192253,1204108,1216819,1230499,1245076,1260213,1275437,1290396,1304987,1319245,1333176,1346818,1360202,1373306,1386068,1398471,1410467,1422042,1433178,1443889,1454273,1464416,1474436,1483873,1492641,1501420,1511199,1522397,1536033,1551208,1564192,1569971,1565242,1548215,1520810,1488059,1457093,1433024,1417736,1409674,1406350,1403789,1399112,1391729,1382732,1372909,1363565,1355648,1349297,1344072,1339712,1335830,1332102,1328449,1324934,1321560,1318359,1315321,1312442,1309632,1306788,1303798,1300559,1297038,1293233,1289139,1284758,1280134,1275230,1270080,1264718,1259199,1253590,1247907,1242160,1236396,1230662,1225001,1219434,1213952,1208550,1203224,1197944,1192713,1187539,1182371,1177191,1171949,1166655,1161291,1155854,1150337,1144747,1139057,1133283,1127422,1121474,1115451,1109354,1103177,1096946,1090654,1084309,1077928,1071509,1065082,1058661,1052261,1045889,1039568,1033297,1027095,1020969,1014935,1008992,1003157,997439,991838,986370,981040,975843,970786,965871,961105,956476,951982,947647,943450,939392,935462,931661,927960,924380,920873,917439,914077,910758,907471,904194,900908,897589,894218,890759
eth,Ethiopia,pop,2948990,2948990,2948990,2948990,2948990,2948990,2948990,2948990,2948990,2948990,2948990,2950984,2955000,2961066,2969213,2979469,2991864,3006429,3023195,3042192,3063453,3087009,3112894,3141140,3171781,3204850,3240383,3278414,3318979,3362114,3407854,3456238,3505309,3555076,3605550,3656741,3708658,3761313,3814715,3868876,3923805,3979514,4036014,4093316,4151432,4210373,4270151,4330778,4392265,4454625,4517871,4580756,4644517,4709165,4774712,4841171,4908555,4976877,5046149,5116384,5187597,5259801,5333010,5407237,5482496,5558803,5636171,5714616,5794152,5874795,5956559,6039461,6123516,6204635,6290988,6378543,6467315,6553418,6644624,6737098,6830859,6922257,7018594,7116270,7211963,7312329,7414092,7514285,7618857,7724884,7832385,7941383,8051896,8163947,8277556,8392746,8509538,8627954,8748018,8869752,8993179,9118323,9242147,9370754,9501150,9633360,9767408,9898731,10036470,10176126,10317724,10459906,10605451,10753020,10902642,11054345,11208158,11364110,11526529,11690180,11856154,12024485,12195205,12368350,12543952,12722048,12902673,13085861,13271651,13460079,13651181,13844997,14041565,14240923,14443112,14648172,14856143,15067067,15280985,15497940,15717976,15941136,16167464,16397006,16629806,16865912,17105370,17348227,17594533,17844336,18128034,18466968,18819700,19184292,19560016,19947292,20347813,20764450,21201034,21661996,22151278,22671190,23221389,23798429,24397024,25013626,25641376,26281208,26946079,27654161,28415077,29245207,30132580,31025115,31851708,32566821,33146891,33622390,34068316,34590226,35264898,36120288,37136848,38285883,39518801,40800343,42120730,43493283,44932064,46458913,48086516,49821083,51647768,53532956,55431123,57309880,59155148,60976450,62794151,64640054,66537331,68492257,70497192,72545144,74624405,76727083,78850689,81000409,83184892,85416253,87702670,90046756,92444183,94887724,97366774,99873033,102403196,104957438,107534882,110135635,112759070,115403326,118065225,120741324,123427617,126120682,128817980,131517867,134218920,136920107,139620178,142317586,145010282,147695897,150371875,153036024,155686416,158322006,160942553,163548404,166139393,168714421,171271652,173809294,176325273,178817639,181284897,183725643,186137980,188519926,190869632,193185551,195466255,197710275,199916172,202082564,204208147,206291692,208332018,210328007,212278592,214182834,216039798,217848514,219608052,221317582,222976385,224583933,226139950,227644312,229096851,230497429,231845706,233141129,234383041,235571073,236705093,237785421,238812773,239788134,240712370,241586168,242409837,243183424,243906792,244580164,245204073,245779682,246308653,246793009,247234529,247634562,247994071,248313819,248594555,248837223,249042980,249213269,249349816,249454608,249529919
fji,Fiji,pop,130533,130746,130959,131172,131386,131600,131815,132029,132244,132460,132682,132899,133115,133332,133549,133767,133985,134203,134422,134641,134860,135080,135300,135521,135742,135963,136184,136406,136629,136851,137074,137298,137521,137746,137939,138101,138231,138331,138401,138439,138446,138427,138381,138309,138210,138085,137934,137756,137551,137321,137063,136781,136472,136136,135775,135418,135067,134721,134380,134044,133713,133387,133062,132738,132414,132092,131770,131449,131129,130809,130490,130172,129841,129520,129173,128811,128433,128099,127699,127282,126849,126471,126004,125518,125071,124538,124021,123447,122938,122474,122055,121681,121351,121066,120825,120628,120484,120563,120825,121271,121905,122730,123244,124512,126020,127771,129757,131700,133747,135825,137824,139870,141667,143301,144953,146625,148316,150026,151755,153504,155274,157276,159518,162004,164529,167094,169699,172344,175031,177759,180530,183344,186202,189105,192053,195047,198881,203592,209214,214992,220929,227030,233300,239742,246363,253167,260086,267122,274276,281622,288988,296209,304814,314351,324482,334976,345744,356820,368319,380451,393386,407156,421577,436208,450450,463883,476324,487913,498892,509658,520529,531601,542814,554107,565388,576595,587520,598259,609345,621538,635255,650955,668198,685391,700366,711661,718548,721725,722917,724624,728628,735473,744531,755026,765667,775498,784476,792860,800315,806494,811223,814218,815691,816628,818354,821817,827411,834812,843340,851967,859950,867086,873596,879715,885806,892149,898760,905502,912241,918757,924915,930655,936021,941061,945843,950430,954819,958985,962953,966711,970270,973640,976826,979803,982586,985150,987513,989652,991583,993298,994801,996089,997158,998019,998661,999087,999293,999277,999088,998711,998190,997526,996715,995770,994678,993452,992073,990562,988922,987158,985264,983240,981109,978862,976511,974052,971501,968867,966132,963317,960421,957465,954429,951325,948150,944901,941587,938198,934748,931245,927692,924092,920454,916760,913006,909192,905325,901391,897403,893366,889281,885156,880980,876766,872504,868221,863905,859563,855206,850827,846454
fin,Finland,pop,977662,986439,995294,1004229,1013244,1022340,1031517,1040777,1050120,1059547,1070625,1080546,1090811,1101463,1112452,1123822,1135520,1148781,1162363,1176310,1190807,1205328,1219583,1233614,1247371,1260849,1274234,1287617,1301042,1314457,1327905,1341571,1355381,1369333,1383476,1397810,1412238,1426762,1440143,1453667,1467238,1480476,1493714,1507286,1521095,1535190,1549524,1564000,1578571,1593143,1607810,1622720,1637869,1653018,1668167,1683269,1697751,1710901,1720574,1727390,1734253,1741784,1750219,1759512,1769518,1780287,1791961,1804587,1817928,1832174,1847467,1863380,1879769,1889842,1906534,1923964,1942657,1959015,1987849,2017565,2047576,2076167,2106711,2137723,2167729,2199356,2232984,2264486,2294680,2329330,2358342,2387446,2417005,2447018,2476850,2505500,2533059,2559618,2582813,2610555,2633387,2661129,2689730,2715522,2741870,2769997,2799124,2826785,2860202,2895020,2930438,2963656,2996341,3026692,3055043,3081060,3104743,3118758,3122755,3125756,3140760,3171767,3208443,3242451,3273792,3305799,3337807,3368481,3396821,3423828,3450501,3476841,3502514,3526853,3551192,3576198,3601871,3628544,3656884,3680890,3696227,3703562,3711231,3722233,3738904,3767244,3808588,3859933,3912279,3962293,4008294,4050492,4096554,4144297,4191979,4238275,4282379,4323921,4362913,4399674,4434590,4467773,4498817,4526746,4550239,4568598,4581115,4588656,4594024,4601033,4612366,4629380,4651172,4675456,4698779,4718749,4734437,4746932,4758252,4771345,4788243,4809813,4835100,4862178,4888204,4911220,4930341,4946373,4961087,4977115,4996222,5019125,5044925,5071789,5097097,5119005,5136979,5151746,5164242,5175926,5187954,5200479,5213373,5227103,5242185,5258927,5277570,5298014,5319902,5342646,5365782,5389242,5412980,5436616,5459717,5481966,5503132,5523231,5542517,5561389,5580127,5598770,5617163,5635162,5652535,5669119,5684877,5699824,5713891,5726992,5739095,5750172,5760268,5769430,5777716,5785214,5791952,5798018,5803536,5808657,5813529,5818217,5822791,5827357,5832073,5837028,5842305,5847919,5853826,5859994,5866350,5872906,5879682,5886658,5893822,5901156,5908636,5916254,5924009,5931886,5939874,5947958,5956108,5964293,5972455,5980556,5988586,5996497,6004264,6011795,6019077,6026060,6032751,6039138,6045197,6050929,6056331,6061402,6066192,6070762,6075168,6079421,6083529,6087500,6091327,6095031,6098608,6102070,6105430,6108700,6111888,6114998,6118017,6120952,6123798,6126553,6129189,6131718,6134132,6136420,6138570
fra,France,pop,29355111,29447067,29539311,29631843,29724666,29817780,29911185,30004882,30098874,30193159,30293172,30393405,30499974,30612625,30731442,30856458,30985993,31120079,31258751,31402043,31549988,31700048,31853161,32007457,32163920,32322538,32485056,32651510,32821931,32996353,33174810,33356190,33535143,33711000,33884048,34054190,34219857,34382762,34542857,34700095,34854476,35005857,35156810,35306381,35456429,35606000,35751714,35891810,36026238,36154952,36277905,36397736,36516194,36636137,36755611,36875046,36989679,37105320,37219540,37354250,37461341,37528424,37586889,37649074,37712549,37778268,37846183,37919725,37999323,38083025,38170354,38261787,38355895,38432199,38518440,38604530,38692943,38738811,38797147,38883809,39014052,39174316,39306482,39427511,39566810,39662138,39746997,39853877,39916881,39971423,40015500,40058669,40104664,40159219,40217603,40273077,40331468,40399333,40472940,40551287,40628637,40706903,40789607,40843223,40900293,40958592,41025021,41066651,41135004,41209573,41294570,41383848,41465114,41523003,41231122,40705028,39975434,39328983,38932953,38836731,39069935,39310489,39604499,39961988,40359570,40690331,40900816,41047821,41168098,41391946,41662569,41873054,41966603,41996672,42023400,42030082,42023400,42030082,42026741,41716026,40927544,40092288,39424083,39190212,39290442,39721434,40316137,40787221,41184803,41569624,41879605,42070919,42365579,42724223,43117846,43527762,43946212,44375735,44827610,45319110,45865396,46470824,47121382,47781402,48402837,48952255,49411387,49791935,50127143,50466394,50843829,51273470,51739837,52212314,52646198,53010730,53295791,53516213,53696453,53872444,54070817,54298045,54547688,54817832,55102743,55397482,55704494,56024508,56348214,56663204,56960835,57237702,57496974,57744820,57990661,58241791,58499689,58763395,59034921,59316107,59608201,59911252,60225076,60550097,60886607,61233900,61592884,61960950,62329567,62687521,63026740,63343577,63639873,63919917,64190638,64457201,64720690,64979548,65233271,65480710,65721165,65954741,66182378,66405223,66624723,66841951,67057171,67270163,67480850,67689001,67894271,68096621,68295673,68490279,68678970,68860560,69034688,69201204,69359408,69508594,69648311,69778363,69899000,70010835,70114775,70211636,70301774,70385563,70463968,70538132,70608998,70677250,70743274,70807346,70869589,70930256,70989694,71048444,71107175,71166642,71227445,71289926,71354276,71420764,71489622,71561003,71635042,71711723,71790922,71872375,71955834,72041181,72128233,72216704,72306248,72396525,72487375,72578538,72669439,72759401,72847892,72934560,73019377,73102602,73184667,73265876,73346156,73425247,73502919,73578863,73652809,73724553,73793939,73860834,73925107,73986579,74045009,74100112,74151533,74198874,74241659
